Rank,State,"Total Energy Consumed per Capita, million Btu",,,,,,2018
4,AK,830,,,,,,
14,AL,400,,,,,,
17,AR,372,,,,,,
46,AZ,208,,,,,,
48,CA,202,,,,,,
34,CO,266,,,,,,
45,CT,211,,,,,,
38,DC,249,,,,,,
28,DE,301,,,,,,
49,FL,202,,,,,,
33,GA,274,,,,,,
47,HI,206,,,,,,
5,IA,513,,,,,,
24,ID,316,,,,,,
25,IL,315,,,,,,
11,IN,424,,,,,,
16,KS,390,,,,,,
15,KY,391,,,,,,
2,LA,945,,,,,,
44,MA,212,,,,,,
42,MD,226,,,,,,
29,ME,295,,,,,,
30,MI,290,,,,,,
18,MN,341,,,,,,
27,MO,302,,,,,,
13,MS,400,,,,,,
12,MT,410,,,,,,
37,NC,252,,,,,,
3,ND,872,,,,,,
7,NE,475,,,,,,
41,NH,240,,,,,,
36,NJ,252,,,,,,
19,NM,336,,,,,,
40,NV,240,,,,,,
50,NY,197,,,,,,
23,OH,322,,,,,,
10,OK,433,,,,,,
39,OR,242,,,,,,
26,PA,310,,,,,,
51,RI,187,,,,,,
21,SC,329,,,,,,
9,SD,452,,,,,,
20,TN,333,,,,,,
6,TX,498,,,,,,
35,UT,265,,,,,,
31,VA,283,,,,,,
43,VT,223,,,,,,
32,WA,276,,,,,,
22,WI,325,,,,,,
8,WV,462,,,,,,
1,WY,967,,,,,,
